TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
7;-0.08;0.21;9.13;-2.17;0.06;-1.11
111;-0.06;0.15;9.20;-2.11;-0.03;-1.09
216;-0.15;0.17;9.04;-2.18;0.08;-1.12
320;-0.04;0.19;9.09;-2.20;0.12;-1.11
424;-0.09;0.21;9.22;-2.19;0.24;-1.17
528;-0.08;0.18;9.10;-2.32;0.14;-1.06
632;-0.06;0.14;9.03;-1.99;0.00;-1.01
737;-0.08;0.16;9.10;-2.28;-0.08;-1.21
841;-0.10;0.20;9.03;-2.27;-0.02;-1.15
946;-0.06;0.19;9.08;-2.22;-0.10;-1.21
1050;-0.06;0.19;9.10;-2.14;0.05;-1.05
1155;-0.08;0.15;9.19;-2.16;0.01;-1.05
1259;-0.06;0.14;9.04;-2.01;0.00;-0.94
1362;-0.05;0.21;9.15;-2.34;0.11;-1.16
1467;-0.16;0.20;9.21;-2.25;-0.05;-1.01
1571;-0.10;0.20;9.14;-2.22;0.06;-1.16
1676;-0.10;0.18;9.12;-2.26;-0.06;-1.05
1780;-0.08;0.17;9.22;-2.16;-0.04;-1.04
1885;-0.15;0.14;9.04;-2.22;0.02;-1.21
1989;-0.07;0.21;9.15;-2.18;-0.11;-1.15
2094;-0.05;0.12;9.11;-2.33;-0.01;-1.14
2198;-0.04;0.22;9.15;-2.09;0.18;-1.09
2302;-0.07;0.17;9.08;-2.23;0.11;-1.02
2407;-0.08;0.21;9.09;-2.20;-0.14;-0.92
2511;-0.11;0.18;8.99;-2.04;0.14;-1.15
2616;-0.07;0.21;9.10;-2.14;0.07;-0.95
2719;-0.07;0.19;9.12;-2.30;0.18;-1.06
2824;-0.06;0.19;9.14;-2.22;0.08;-1.03
2928;-0.10;0.18;9.11;-2.01;0.09;-1.04
3033;-0.12;0.15;9.15;-2.10;0.03;-1.08
3137;-0.01;0.14;9.11;-2.14;0.11;-1.17
3241;-0.05;0.20;9.13;-1.93;-0.15;-1.14
