TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
7;-0.05;0.18;9.15;-2.07;0.01;-1.12
111;0.00;0.17;9.03;-2.20;0.05;-1.18
216;-0.11;0.25;9.11;-2.04;0.14;-1.19
320;-0.11;0.23;9.20;-2.40;-0.08;-0.99
424;-0.17;0.20;9.03;-2.24;0.19;-0.96
528;-0.12;0.22;9.09;-2.25;-0.05;-1.21
632;-0.07;0.19;9.08;-2.21;-0.07;-1.21
737;-0.07;0.23;9.07;-2.20;0.02;-1.17
841;-0.07;0.21;9.07;-2.08;0.13;-1.09
946;-0.08;0.16;9.09;-2.24;0.18;-1.08
1050;-0.13;0.24;9.12;-2.16;-0.11;-1.20
1155;-0.07;0.21;9.17;-2.11;0.17;-1.09
1259;-0.06;0.17;9.10;-2.24;0.11;-1.14
1363;-0.12;0.18;9.05;-2.18;-0.15;-1.16
1467;-0.08;0.15;9.04;-2.17;-0.21;-1.13
1571;-0.06;0.22;9.13;-2.14;-0.08;-1.04
1676;-0.04;0.20;9.05;-2.29;0.15;-1.23
1780;-0.09;0.13;8.98;-2.37;0.02;-1.13
1885;-0.12;0.19;9.06;-2.24;-0.05;-1.21
1989;-0.09;0.20;9.07;-2.22;-0.05;-1.17
2094;-0.08;0.16;9.12;-2.09;0.05;-1.28
2198;-0.05;0.20;8.97;-2.21;0.07;-1.11
2302;-0.15;0.18;9.06;-2.23;-0.10;-1.17
2407;-0.04;0.24;9.09;-2.16;0.01;-1.13
2511;-0.06;0.19;9.10;-2.14;0.10;-1.13
2616;0.01;0.20;9.16;-2.24;-0.06;-1.03
2720;-0.11;0.23;9.11;-2.29;0.07;-1.00
2824;-0.10;0.23;9.01;-2.16;0.11;-1.08
2928;-0.08;0.18;9.21;-2.25;0.06;-1.11
3033;-0.08;0.17;9.06;-2.17;0.02;-1.11
3137;-0.07;0.24;9.10;-2.19;0.02;-1.14
3241;-0.08;0.24;9.11;-2.22;-0.02;-1.21
3346;-0.04;0.22;9.11;-2.13;-0.02;-1.08
3450;-0.07;0.20;9.11;-2.19;0.09;-1.18
3555;-0.06;0.22;9.02;-2.17;0.11;-1.05
3659;-0.08;0.22;9.11;-2.19;-0.21;-1.09
3764;-0.07;0.15;9.04;-2.22;-0.06;-1.21
3868;-0.03;0.23;9.08;-2.14;0.06;-1.18
3973;-0.10;0.22;9.14;-2.20;0.14;-1.14
4076;-0.03;0.82;9.15;-2.15;0.02;-1.16
4180;-0.12;0.65;9.15;-2.14;-0.08;-1.20
4285;-0.06;0.52;9.38;-1.94;-0.31;-1.09
4389;0.10;0.48;8.85;-2.20;-0.36;-1.12
4494;-0.19;0.15;9.66;-2.17;-0.40;-1.07
4598;-0.10;0.46;9.17;-2.01;-0.59;-1.08
4703;0.30;0.42;8.84;-2.71;0.41;-1.34
4807;0.17;0.38;8.30;-2.20;0.01;-1.21
4912;-0.03;0.21;9.48;-2.30;-0.36;-1.20
5016;0.58;0.48;8.85;-2.00;0.37;-0.93
5121;-0.40;0.29;9.19;-2.40;0.23;-1.08
5225;-0.59;0.10;9.09;-1.90;0.59;-1.08
5329;-0.44;0.36;8.92;-2.58;0.36;-0.63
5433;0.26;0.30;8.61;-2.01;-0.05;-1.21
5537;-0.03;0.12;9.11;-1.95;0.08;-0.95
5642;-0.30;0.10;9.91;-1.72;-0.98;-0.92
5746;-0.36;0.08;9.51;-2.04;-0.13;-0.89
5851;-0.11;0.31;8.63;-2.46;1.04;-1.16
5955;0.10;0.17;9.08;-2.10;0.18;-1.20
6060;0.17;0.04;9.87;-1.80;-1.00;-1.17
6164;-0.03;0.45;9.02;-2.29;-0.68;-1.26
6268;0.09;0.17;9.21;-2.03;0.79;-0.85
