GPST;latitude(deg);longitude(deg);height(m);Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio
2019-04-15 08:04:37.996;53.540259273;10.006928388;43.7937;2;4;2.7054;0.6198;4.8301;-0.1790;-0.4708;3.4228;8.00; 1.0
2019-04-15 08:04:38.996;53.540272995;10.006944206;45.2265;2;4;1.9191;0.4397;3.4372;-0.1226;-0.3283;2.4313;9.00; 1.0
2019-04-15 08:04:39.996;53.540266991;10.006949684; 43.8809;2;4;1.5682;0.3595;2.8123;-0.0996;-0.2671;1.9878;10.00; 1.0
2019-04-15 08:05:28.996;53.540428405;10.006895038; 43.4538;2;4;1.3146;0.3254;2.2706;0.0755;-0.2349;1.6357;14.00; 1.1
2019-04-15 08:05:29.996;53.540438897;10.006893995; 44.0050;2;4;1.1804;0.2993;1.9851;0.1243;-0.1967;1.4515;0.00; 1.3
2019-04-15 08:05:30.996;53.540449416;10.006893002; 44.1725;2;4;1.0830;0.2795;1.7901;0.1428;-0.1666;1.3214;1.00; 1.6
2019-04-15 08:05:31.996;53.540463139;10.006892883; 44.5681;2;4;1.0070;0.2632;1.6445;0.1507;-0.1427;1.2220;2.00; 1.8
2019-04-15 08:05:32.996;53.540475929;10.006891427; 44.4484;2;4;0.9454;0.2497;1.5302;0.1538;-0.1235;1.1426;3.00; 1.8
2019-04-15 08:05:33.996;53.540491018;10.006887757; 44.6286;2;4;0.8942;0.2381;1.4373;0.1543;-0.1077;1.0772;4.00; 1.0
2019-04-15 08:05:34.996;53.540505239;10.006882705; 44.7088;2;4;0.8506;0.2280;1.3597;0.1536;-0.0945;1.0221;5.00; 1.1
2019-04-15 08:05:35.996;53.540518709;10.006878136; 44.8066;2;4;0.8130;0.2192;1.2937;0.1520;-0.0832;0.9749;6.00; 1.0
2019-04-15 08:05:37.000;53.540530496;10.006872432; 44.7648;2;4;0.7801;0.2113;1.2366;0.1501;-0.0735;0.9337;7.00; 1.1
2019-04-15 08:05:38.000;53.540543213;10.006869199; 44.9269;2;4;0.7510;0.2043;1.1867;0.1479;-0.0650;0.8976;8.00; 1.0
2019-04-15 08:05:39.000;53.540555402;10.006867040; 44.9873;2;4;0.7251;0.1980;1.1426;0.1456;-0.0576;0.8655;9.00; 1.1
2019-04-15 08:05:40.000;53.540566356;10.006864211; 44.9937;2;4;0.7019;0.1924;1.1032;0.1433;-0.0509;0.8368;10.00; 1.0
2019-04-15 08:05:41.000;53.540576583;10.006860101; 45.1714;2;4;0.6809;0.1872;1.0679;0.1410;-0.0449;0.8110;11.00; 1.0
2019-04-15 08:05:42.000;53.540584885;10.006856659; 45.3348;2;4;0.6619;0.1825;1.0360;0.1388;-0.0395;0.7876;12.00; 1.1
2019-04-15 08:05:43.000;53.540590820;10.006854720; 45.4212;2;4;0.6446;0.1781;1.0071;0.1366;-0.0346;0.7663;13.00; 1.0
2019-04-15 08:05:44.000;53.540594919;10.006852177; 45.3854;2;4;0.6288;0.1742;0.9807;0.1345;-0.0301;0.7469;14.00; 1.0
2019-04-15 08:05:45.000;53.540602592;10.006848746; 45.6503;2;4;0.6074;0.1686;0.9484;0.1311;-0.0219;0.7217;0.00; 1.0
2019-04-15 08:05:46.000;53.540610823;10.006844269; 45.7975;2;4;0.5930;0.1649;0.9249;0.1290;-0.0161;0.7042;1.00; 1.0
