TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
7;0.00;0.00;0.00;0.00;0.00;0.00
111;7.88;-5.92;-0.63;-2.14;0.02;-1.09
216;7.87;-5.91;-0.68;-2.35;0.18;-1.09
320;7.88;-5.88;-0.61;-2.08;0.08;-1.05
423;7.84;-5.89;-0.69;-2.11;-0.07;-1.11
528;7.93;-5.93;-0.73;-2.13;-0.01;-1.06
632;7.88;-5.86;-0.73;-2.16;0.02;-0.94
737;7.88;-5.88;-0.62;-2.15;0.20;-0.82
841;7.85;-5.89;-0.66;-2.02;0.12;-1.19
946;7.87;-5.90;-0.72;-2.10;-0.08;-1.10
1050;7.94;-5.93;-0.67;-2.14;-0.11;-1.03
1155;7.86;-5.96;-0.63;-2.27;0.20;-0.94
1259;7.88;-5.97;-0.73;-2.30;0.12;-1.02
1363;7.86;-5.95;-0.65;-2.21;-0.04;-1.09
1468;7.79;-5.88;-0.70;-2.11;-0.13;-1.11
1572;7.83;-5.86;-0.65;-2.01;0.16;-1.05
1676;7.86;-5.92;-0.69;-2.02;-0.14;-1.11
1780;7.93;-5.90;-0.66;-2.27;-0.07;-0.81
1885;7.89;-5.89;-0.69;-2.17;0.14;-1.07
1989;7.93;-5.88;-0.69;-1.97;0.10;-1.18
2094;7.89;-5.87;-0.66;-2.30;0.29;-1.09
2198;7.85;-5.95;-0.61;-2.19;0.16;-0.97
2302;7.86;-5.93;-0.57;-2.23;-0.03;-1.03
2407;7.88;-5.88;-0.63;-2.15;0.05;-1.05
2511;7.85;-5.90;-0.65;-2.18;-0.22;-1.17
2616;7.86;-5.93;-0.66;-2.23;-0.19;-1.17
2720;7.88;-5.92;-0.65;-2.27;-0.16;-0.95
2825;7.83;-5.89;-0.68;-2.05;-0.05;-1.05
2929;7.88;-5.93;-0.69;-2.32;0.05;-1.00
3034;7.84;-5.87;-0.71;-2.20;0.13;-1.05
3138;7.86;-5.88;-0.70;-2.17;-0.05;-1.05
3243;7.88;-5.93;-0.62;-2.10;0.22;-0.93
3346;7.91;-5.95;-0.70;-2.11;0.24;-1.08
3450;7.83;-5.87;-0.69;-2.12;-0.19;-1.08
3555;7.84;-5.89;-0.59;-2.01;-0.05;-0.99
3659;7.88;-5.87;-0.63;-2.08;-0.05;-1.20
3764;7.85;-5.94;-0.67;-2.24;0.06;-0.95
3868;7.84;-5.90;-0.69;-2.20;-0.14;-1.17
3973;7.91;-5.87;-0.69;-2.15;-0.10;-1.04
4077;7.87;-5.90;-0.59;-2.02;-0.04;-1.10
4182;7.85;-5.93;-0.71;-2.18;0.04;-1.08
4286;7.88;-5.90;-0.76;-2.26;0.00;-0.96
4390;7.93;-5.95;-0.64;-2.08;-0.08;-0.99
4495;7.90;-5.90;-0.64;-2.20;-0.13;-0.95
4599;7.87;-5.92;-0.59;-2.11;0.17;-1.07
4704;7.91;-5.93;-0.69;-2.25;-0.02;-0.98
4808;7.88;-5.91;-0.71;-2.24;0.01;-0.97
4912;7.92;-5.93;-0.72;-2.09;0.22;-1.00
5016;7.84;-5.90;-0.63;-2.26;0.12;-1.12
5121;7.89;-5.95;-0.68;-2.17;-0.02;-1.08
5225;7.91;-5.90;-0.66;-2.11;-0.02;-1.09
5329;7.84;-5.90;-0.69;-2.24;0.04;-1.08
5434;7.83;-5.95;-0.64;-2.35;-0.22;-1.02
5538;7.89;-5.87;-0.61;-2.34;-0.02;-1.15
5643;7.87;-5.89;-0.72;-2.27;0.02;-1.12
5747;7.80;-5.90;-0.71;-2.18;0.01;-0.92
5852;7.84;-5.93;-0.62;-2.37;-0.01;-0.97
5956;7.84;-5.93;-0.66;-2.17;-0.08;-1.08
6061;7.91;-5.85;-0.67;-2.06;-0.06;-0.90
6165;7.90;-5.91;-0.59;-2.21;0.05;-1.11
6269;7.88;-5.84;-0.70;-2.08;0.00;-1.11
6374;7.85;-5.94;-0.70;-2.29;0.18;-0.98
6478;7.86;-5.92;-0.62;-2.11;0.14;-1.00
6582;7.82;-5.93;-0.67;-2.28;-0.04;-1.04
6686;7.82;-5.92;-0.63;-2.30;0.10;-1.07
6791;7.87;-5.90;-0.67;-2.24;0.08;-0.94
6895;7.91;-5.93;-0.60;-2.26;-0.04;-0.96
7000;7.89;-5.92;-0.67;-2.20;-0.10;-1.04
7104;7.90;-5.92;-0.68;-2.04;-0.06;-1.04
7208;7.87;-5.90;-0.72;-2.14;0.06;-1.01
7313;7.93;-5.90;-0.70;-2.20;-0.05;-0.97
7417;7.88;-5.94;-0.70;-2.17;0.02;-1.09
7522;7.85;-5.90;-0.73;-2.20;-0.05;-1.01
7626;7.90;-5.92;-0.66;-2.07;-0.01;-1.17
